series_name,series_slug_tr,series_slug_en,release_date,figure_name,figure_slug_tr,figure_slug_en,figure_number,figure_code,character_name,short_description_tr,short_description_en,figure_role,figure_type,min_price,max_price,avg_price,price_updated_at,rarity_level,rarity_score,series_score,value_score,demand_score,view_count_30d,collection_count_30d,favorite_count_30d,rating_count,piece_count,accessory_count,main_color,image_url,thumbnail_url,is_featured,is_active,is_published
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Tribal Hunter,tribal-hunter,tribal-hunter,1,col01-1,Tribal Hunter,"Tribal Hunter, ormanın derinliklerinde yaşayan iz sürme ustasıdır. Hayvan postlarından yaptığı kıyafetleriyle gizlenir, avını sessizce takip eder. Duyuları son derece gelişmiştir, en küçük izleri bile fark eder.",,Avcı,İz Sürücü,12,12,12,,Yaygın,,,,,0,0,0,0,6,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Cheerleader,cheerleader,cheerleader,2,col01-2,Cheerleader,"Cheerleader, enerjisi ve neşesiyle her ortamı canlandırır. Takımını motive eden tezahüratlarıyla herkesin moralini yükseltir. Asla pes etmez, her zaman “Go Team!” diye bağırmaya hazırdır.",,Destekçi,Neşeli / Motive Edici,10,10,10,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Caveman,caveman,caveman,3,col01-3,Caveman,"Caveman, taş devrinin güçlü ve sevecen savaşçısıdır. Elindeki büyük sopayla avlanır ama dost canlısıdır. Yeni şeyler keşfetmeyi sever, her zaman ilkel ama içten bir kahkahası vardır.",,Savaşçı,İlkel / Güçlü,9,9,9,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Circus Clown,circus-clown,circus-clown,4,col01-4,Circus Clown,"Circus Clown, sihirli sirk arenasında neşenin simgesidir. Renkli kostümü ve abartılı mimikleriyle herkesi güldürür. Bazen şapkasından tavşan çıkarır, bazen de seyircileri şaşkına çevirir.",,Eğlendirici,Komik,11,11,11,,Yaygın,,,,,0,0,0,0,6,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Zombie,zombie,zombie,5,col01-5,Zombie,"Zombie, sessiz adımlarla geceleri dolaşan bir gölgedir. Eski kıyafetleriyle hâlâ geçmiş yaşamının izlerini taşır. Korkutucu görünse de, aslında sadece arkadaş arayan yalnız bir ruhtur.",,Korku Karakteri,Ölü / Gizemli,25,25,25,,Çok Nadir,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Skater,skater,skater,6,col01-6,Skater,"Skater, şehir sokaklarının özgür ruhudur. Kaykayını altına alır, engelleri aşar, yeni numaralar dener. Asla durağan kalmaz; her düşüş, onun için yeni bir denge dersi olur.",,Sporcu,Özgür Ruh,8,8,8,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Robot,robot,robot,7,col01-7,Robot,"Robot, geleceğin soğukkanlı yardımcısıdır. Programı kusursuz çalışır ama içinde küçük bir merak devresi vardır. İnsanlara yardım etmeyi sever, ama bazen “neden?” sorusuna kendi yanıtını arar.",,Teknolojik Varlık,Mekanik / Meraklı,9,9,9,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Demolition Dummy,demolition-dummy,demolition-dummy,8,col01-8,Demolition Dummy,"Demolition Dummy, test dünyasının yıldızıdır. Her darbeyi soğukkanlılıkla karşılar, hiçbir kazadan yılmaz. Parçalansa bile tekrar birleştirilir; çünkü onun görevi dayanıklılığı kanıtlamaktır.",,Test Karakteri,Dayanıklı / Deneysel,7,7,7,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Cowboy,cowboy,cowboy,9,col01-9,Cowboy,"Cowboy, vahşi batının cesur silahşorudur. Kovboy şapkasını takar, atını sürer ve adaleti savunur. Dürüstlüğüyle tanınır; bazen yalnız, ama her zaman doğru olanın peşindedir.",,Kahraman,Adalet Savunucusu,10,10,10,,Nadir,,,,,0,0,0,0,4,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Ninja,ninja,ninja,10,col01-10,Ninja,"Ninja, gölgelerin içinden sessizce süzülür. Kılıcıyla hızlı, zekasıyla keskindir. Onu fark ettiğin an, çoktan işini bitirmiştir. Onur ve sadakat, onun en güçlü silahlarıdır.",,Savaşçı,Gölge / Onurlu,15,15,15,,Nadir,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Nurse,nurse,nurse,11,col01-11,Nurse,"Nurse, herkesin iyileşmesini isteyen şefkatli bir kahramandır. Elinde stetoskopu, kalbinde sonsuz sabrı vardır. Her hastasına umut aşılar, küçük bir gülümsemenin bile gücüne inanır.",,Destekçi,Şefkatli / Yardımsever,9,9,9,,Yaygın,,,,,0,0,0,0,4,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Magician,magician,magician,12,col01-12,Magician,"Magician, illüzyonun efendisidir. Şapkasından tavşan, cebinden gizem çıkarır. Gerçekle hayali harmanlar; seyircisini büyülerken kendi sırlarını asla açık etmez. Her gösteri, küçük bir mucizedir.",,Sanatçı,Büyücü / İllüzyonist,10,10,10,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Wrestler,wrestler,wrestler,13,col01-13,Wrestler,"Wrestler, ringin güçlü devi ve kalabalığın sevgilisidir. Renkli maskesiyle sahneye çıkar, seyircileri coşturur. Her hareketinde cesaret vardır; rakiplerine saygı duyar ama asla geri adım atmaz.",,Sporcu,Güçlü / Cesur,9,9,9,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Spaceman,spaceman,spaceman,14,col01-14,Spaceman,"Spaceman, bilinmeyen galaksilerin keşifçisidir. Sonsuz uzayda maceraya atılır, yeni dünyalar arar. Cesaretiyle karanlığı yarar, yıldızlar arasında kaybolmak yerine ışık olur.",,Kaşif,Uzay Yolcusu,11,11,11,,Nadir,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Forestman,forestman,forestman,15,col01-15,Forestman,"Forestman, ormanın adaletini savunan gizli bir kahramandır. Oklarıyla keskin, kalbiyle merhametlidir. Haksızlığa karşı savaşır, doğayı korur ve dostlarına asla sırtını dönmez.",,Koruyucu,Doğa Savunucusu,12,12,12,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,2010-05-01,Deep Sea Diver,deep-sea-diver,deep-sea-diver,16,col01-16,Deep Sea Diver,"Deep Sea Diver, okyanusun derinliklerine dalan cesur bir kaşiftir. Sualtının gizemli yaratıklarını inceler, kayıp hazinelerin peşine düşer. Karanlık sularda bile merakıyla yolunu bulur.",,Kaşif,Cesur / Meraklı,13,13,13,,Nadir,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Traffic Cop,traffic-cop,traffic-cop,1,col02-1,Traffic Cop,"Traffic Cop, şehirde düzenin koruyucusudur. Her an tetikte, elinde düdüğüyle trafiği yönlendirir. Kuralları uygularken adaletli ama serttir. Herkesin güvenliği onun için birincil önceliktir.",,Büyücü,Kötü Karakter,10,10,10,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Witch,witch,witch,2,col02-2,Witch,"Witch, gizemli ormanların karanlık büyücüsüdür. Kazanında iksirler kaynatır, büyüleriyle kaderleri değiştirir. Siyah şapkasının altında bin yıllık sırlar saklıdır. Geceleri süpürgesiyle gökyüzünde uçar.",,Sporcu,Güçlü / Kararlı,9,9,9,,Yaygın,,,,,0,0,0,0,6,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Weightlifter,weightlifter,weightlifter,3,col02-3,Weightlifter,"Weightlifter, gücün vücut bulmuş halidir. Her yarışmada limitleri zorlar, asla pes etmez. Kaldırdığı ağırlıklarla sınırlarını aşar, seyircilerden alkış toplar. Azmiyle örnek bir sporcu olmuştur.",,Savaşçı,Onurlu / Cesur,15,15,15,,Nadir,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Spartan Warrior,spartan-warrior,spartan-warrior,4,col02-4,Spartan Warrior,"Spartan Warrior, antik çağların onurlu savaşçısıdır. Kalkanı ve mızrağıyla düşmanlarının önünde dimdik durur. Cesaretiyle bilinir, asla geri çekilmez. Onur onun için her şeyden önemlidir.",,Eğlendirici,Sunucu / Karizmatik,11,11,11,,Yaygın,,,,,0,0,0,0,6,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Ringmaster,ringmaster,ringmaster,5,col02-5,Ringmaster,"Ringmaster, sirkin büyüleyici sunucusudur. Elinde kırbaç, başında şapka, ağzında kusursuz kelimelerle seyircileri büyüler. Kaosun içinde düzen kurar, her gösterinin kalbidir.",,Sanatçı,Şarkıcı / Parlak Ruh,8,8,8,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Pop Star,pop-star,pop-star,6,col02-6,Pop Star,"Pop Star, sahnelerin ışıltılı yıldızıdır. Mikrofonu eline aldığında tüm gözler onda olur. Dans eder, söyler, parıldar. Müzik onun damarlarında akar; hayranları onun enerjisine hayrandır.",,Korku Karakteri,Karanlık / Efsanevi,20,20,20,,Çok Nadir,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Vampire,vampire,vampire,7,col02-7,Vampire,"Vampire, gecenin efendisi, karanlığın soylusudur. Pelerinini savurarak avını büyüler, dişleriyle efsanelere konu olur. Asaletle hareket eder, sonsuz yaşamında yalnızlığına gömülmüştür.",,Lider,Tarihi / Hükümdar,14,14,14,,Nadir,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Pharaoh,pharaoh,pharaoh,8,col02-8,Pharaoh,"Pharaoh, antik Mısır’ın tanrısal hükümdarıdır. Altın tacıyla hükmeder, zamana meydan okur. Mezarında bile görkemi sürer. Efsaneler onun adını fısıldar, ölümsüzlüğüyle anılır.",,Kaşif,Meraklı / Cesur,10,10,10,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Explorer,explorer,explorer,9,col02-9,Explorer,"Explorer, keşfetmenin tutkusuyla yaşayan cesur bir maceracıdır. Elinde haritası, sırtında çantasıyla bilinmeyen diyarlara yol alır. Her yeni bulgu, onun için bir hikaye başlangıcıdır.",,Savaşçı,Disiplinli / Dövüş Ustası,12,12,12,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Karate Master,karate-master,karate-master,10,col02-10,Karate Master,"Karate Master, disiplin ve sabrın simgesidir. Ustalaşmış hareketleriyle her darbede dengeyi yakalar. Mütevazı ama güçlüdür. Gerçek zaferin içsel dinginlikte olduğunu öğretir.",,Dansçı,Neşeli / Enerjik,8,8,8,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Disco Dude,disco-dude,disco-dude,11,col02-11,Disco Dude,"Disco Dude, müziğin ritmiyle yaşayan ışıltılı bir figürdür. Renkli kıyafetiyle sahnede parlar, her hareketiyle geçmişin enerjisini bugüne taşır. Dans pistinde zamanı durdurur.",,Sporcu,Macera Tutkunu,9,9,9,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Surfer,surfer,surfer,12,col02-12,Surfer,"Surfer, dalgaların efendisidir. Denizin çağrısına kulak verir, tahtasıyla özgürlüğün sınırlarını zorlar. Her dalga, onun için yeni bir maceradır. Güneş ve tuz, hayatının parçasıdır.",,Sanatçı,Sessiz / Duygusal,7,7,7,,Yaygın,,,,,0,0,0,0,4,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Mime,mime,mime,13,col02-13,Mime,"Mime, sessizliğin ustasıdır. Hiç konuşmaz ama her hareketiyle duyguları anlatır. Görünmeyen duvarların arasında hayal kurar, seyircinin kalbine sessizce dokunur.",,Sporcu,Hız Tutkunu,8,8,8,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Skier,skier,skier,14,col02-14,Skier,"Skier, karlı dağların hız tutkunudur. Rüzgar yüzüne çarparken içindeki özgürlüğü hisseder. Soğuk onu durduramaz, zirveye tırmandıkça kendini bulur. Her iniş bir zaferdir.",,Kahraman,Cesur / Fedakar,9,9,9,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Lifeguard,lifeguard,lifeguard,15,col02-15,Lifeguard,"Lifeguard, sahillerin gözcüsüdür. Dalgaların ve güneşin ortasında her an tetiktedir. Kurtardığı her hayatla kahraman olur. Gülümsemesiyle güven verir, cesaretiyle örnek olur.",,Sanatçı,Müzisyen / Neşeli,8,8,8,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,2010-09-01,Mariachi,mariachi,mariachi,16,col02-16,Mariachi,"Mariachi, Meksika müziğinin neşeli temsilcisidir. Gitarını eline alır, ritmiyle herkesi dansa davet eder. Her notada tutku vardır; şarkılarıyla kalpleri ısıtır, sokaklara mutluluk saçar.",,Eğlendirici,Sahne Sanatçısı,10,10,10,,Nadir,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
