series_name,series_slug_tr,series_slug_en,series_number,product_code,category_main,category_sub,release_date,release_year,release_month_tr,figure_count,manual_rarity,computed_rarity,final_rarity,is_limited_production,is_special_production,summary_tr,summary_en,collector_comment_tr,collector_comment_en,hero_image_url,cover_image_url,is_active,is_published
LEGO® Minifigürler Serisi 1,lego-minifigurler-serisi-1,lego-minifigures-series-1,8683,8683,Koleksiyon Serileri,Klasik,2010-05-01,2010,Mayıs,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 2,lego-minifigurler-serisi-2,lego-minifigures-series-2,8684,8684,Koleksiyon Serileri,Klasik,2010-09-01,2010,Eylül,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,8803,8803,Koleksiyon Serileri,Klasik,2011-01-01,2011,Ocak,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 4,lego-minifigurler-serisi-4,lego-minifigures-series-4,8804,8804,Koleksiyon Serileri,Klasik,2011-04-01,2011,Nisan,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 5,lego-minifigurler-serisi-5,lego-minifigures-series-5,8805,8805,Koleksiyon Serileri,Klasik,2011-09-01,2011,Eylül,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 6,lego-minifigurler-serisi-6,lego-minifigures-series-6,8827,8827,Koleksiyon Serileri,Klasik,2012-01-01,2012,Ocak,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 7,lego-minifigurler-serisi-7,lego-minifigures-series-7,8831,8831,Koleksiyon Serileri,Klasik,2012-05-01,2012,Mayıs,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi Team GB,lego-minifigurler-serisi-team-gb,lego-minifigures-series-team-gb,8909,8909,Lisanslı Seriler,Spor / Olimpiyat / Özel Koleksiyon,2012-07-01,2012,Temmuz,9,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 8,lego-minifigurler-serisi-8,lego-minifigures-series-8,8833,8833,Koleksiyon Serileri,Klasik,2012-09-01,2012,Eylül,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 9,lego-minifigurler-serisi-9,lego-minifigures-series-9,71000,71000,Koleksiyon Serileri,Klasik,2013-01-01,2013,Ocak,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 10,lego-minifigurler-serisi-10,lego-minifigures-series-10,71001,71001,Koleksiyon Serileri,Klasik,2013-05-01,2013,Mayıs,16,,,,,,,,,,,,TRUE,TRUE
